olympic_id,year,season,host_city,host_nation,country,sport_id,sport_key,sport,olympic_medals_by_sport,olympic_medals_score_by_sport,host_nation
30,1936,Winter,Garmisch-Partenkirchen,GER,FRA,44,ALP,Alpine Skiing,1,1,FALSE
30,1936,Winter,Garmisch-Partenkirchen,GER,GER,44,ALP,Alpine Skiing,4,10,TRUE
30,1936,Winter,Garmisch-Partenkirchen,GER,NOR,44,ALP,Alpine Skiing,1,1,FALSE
31,1948,Winter,St. Moritz,CHE,AUT,44,ALP,Alpine Skiing,6,10,FALSE
31,1948,Winter,St. Moritz,CHE,FRA,44,ALP,Alpine Skiing,5,10,FALSE
31,1948,Winter,St. Moritz,CHE,SUI,44,ALP,Alpine Skiing,6,12,FALSE
31,1948,Winter,St. Moritz,CHE,USA,44,ALP,Alpine Skiing,2,5,FALSE
32,1952,Winter,Oslo,NOR,AUT,44,ALP,Alpine Skiing,7,14,FALSE
32,1952,Winter,Oslo,NOR,GER,44,ALP,Alpine Skiing,4,6,FALSE
32,1952,Winter,Oslo,NOR,ITA,44,ALP,Alpine Skiing,2,4,FALSE
32,1952,Winter,Oslo,NOR,NOR,44,ALP,Alpine Skiing,3,6,TRUE
32,1952,Winter,Oslo,NOR,USA,44,ALP,Alpine Skiing,2,6,FALSE
33,1956,Winter,Cortina d'Ampezzo,ITA,AUT,44,ALP,Alpine Skiing,9,18,FALSE
33,1956,Winter,Cortina d'Ampezzo,ITA,CAN,44,ALP,Alpine Skiing,1,1,FALSE
33,1956,Winter,Cortina d'Ampezzo,ITA,GER,44,ALP,Alpine Skiing,1,3,FALSE
33,1956,Winter,Cortina d'Ampezzo,ITA,JPN,44,ALP,Alpine Skiing,1,2,FALSE
33,1956,Winter,Cortina d'Ampezzo,ITA,SUI,44,ALP,Alpine Skiing,4,10,FALSE
33,1956,Winter,Cortina d'Ampezzo,ITA,SWE,44,ALP,Alpine Skiing,1,1,FALSE
33,1956,Winter,Cortina d'Ampezzo,ITA,URS,44,ALP,Alpine Skiing,1,1,FALSE
34,1960,Winter,Squaw Valley,USA,AUT,44,ALP,Alpine Skiing,5,9,FALSE
34,1960,Winter,Squaw Valley,USA,CAN,44,ALP,Alpine Skiing,1,3,FALSE
34,1960,Winter,Squaw Valley,USA,FRA,44,ALP,Alpine Skiing,3,5,FALSE
34,1960,Winter,Squaw Valley,USA,GER,44,ALP,Alpine Skiing,3,6,FALSE
34,1960,Winter,Squaw Valley,USA,ITA,44,ALP,Alpine Skiing,1,1,FALSE
34,1960,Winter,Squaw Valley,USA,SUI,44,ALP,Alpine Skiing,2,6,FALSE
34,1960,Winter,Squaw Valley,USA,USA,44,ALP,Alpine Skiing,3,6,TRUE
35,1964,Winter,Innsbruck,AUT,AUT,44,ALP,Alpine Skiing,7,15,TRUE
35,1964,Winter,Innsbruck,AUT,FRA,44,ALP,Alpine Skiing,6,15,FALSE
35,1964,Winter,Innsbruck,AUT,GER,44,ALP,Alpine Skiing,1,1,FALSE
35,1964,Winter,Innsbruck,AUT,USA,44,ALP,Alpine Skiing,4,6,FALSE
36,1968,Winter,Grenoble,FRA,AUT,44,ALP,Alpine Skiing,5,8,FALSE
36,1968,Winter,Grenoble,FRA,CAN,44,ALP,Alpine Skiing,2,5,FALSE
36,1968,Winter,Grenoble,FRA,FRA,44,ALP,Alpine Skiing,8,19,TRUE
36,1968,Winter,Grenoble,FRA,SUI,44,ALP,Alpine Skiing,3,4,FALSE
37,1972,Winter,Sapporo,JPN,AUT,44,ALP,Alpine Skiing,4,6,FALSE
37,1972,Winter,Sapporo,JPN,ESP,44,ALP,Alpine Skiing,1,3,FALSE
37,1972,Winter,Sapporo,JPN,FRA,44,ALP,Alpine Skiing,2,3,FALSE
37,1972,Winter,Sapporo,JPN,ITA,44,ALP,Alpine Skiing,3,6,FALSE
37,1972,Winter,Sapporo,JPN,SUI,44,ALP,Alpine Skiing,6,14,FALSE
37,1972,Winter,Sapporo,JPN,USA,44,ALP,Alpine Skiing,2,4,FALSE
38,1976,Winter,Innsbruck,AUT,AUT,44,ALP,Alpine Skiing,2,5,TRUE
38,1976,Winter,Innsbruck,AUT,CAN,44,ALP,Alpine Skiing,1,3,FALSE
38,1976,Winter,Innsbruck,AUT,FRA,44,ALP,Alpine Skiing,1,1,FALSE
38,1976,Winter,Innsbruck,AUT,FRG,44,ALP,Alpine Skiing,3,8,FALSE
38,1976,Winter,Innsbruck,AUT,ITA,44,ALP,Alpine Skiing,4,8,FALSE
38,1976,Winter,Innsbruck,AUT,LIE,44,ALP,Alpine Skiing,2,2,FALSE
38,1976,Winter,Innsbruck,AUT,SUI,44,ALP,Alpine Skiing,3,7,FALSE
38,1976,Winter,Innsbruck,AUT,SWE,44,ALP,Alpine Skiing,1,1,FALSE
38,1976,Winter,Innsbruck,AUT,USA,44,ALP,Alpine Skiing,1,1,FALSE
39,1980,Winter,Lake Placid,USA,AUT,44,ALP,Alpine Skiing,4,9,FALSE
39,1980,Winter,Lake Placid,USA,CAN,44,ALP,Alpine Skiing,1,1,FALSE
39,1980,Winter,Lake Placid,USA,FRA,44,ALP,Alpine Skiing,1,1,FALSE
39,1980,Winter,Lake Placid,USA,FRG,44,ALP,Alpine Skiing,2,4,FALSE
39,1980,Winter,Lake Placid,USA,LIE,44,ALP,Alpine Skiing,4,10,FALSE
39,1980,Winter,Lake Placid,USA,SUI,44,ALP,Alpine Skiing,3,3,FALSE
39,1980,Winter,Lake Placid,USA,SWE,44,ALP,Alpine Skiing,2,6,FALSE
39,1980,Winter,Lake Placid,USA,USA,44,ALP,Alpine Skiing,1,2,TRUE
40,1984,Winter,Sarajevo,SVN,AUT,44,ALP,Alpine Skiing,1,1,FALSE
40,1984,Winter,Sarajevo,SVN,CZE,44,ALP,Alpine Skiing,1,1,FALSE
40,1984,Winter,Sarajevo,SVN,FRA,44,ALP,Alpine Skiing,3,4,FALSE
40,1984,Winter,Sarajevo,SVN,ITA,44,ALP,Alpine Skiing,1,3,FALSE
40,1984,Winter,Sarajevo,SVN,LIE,44,ALP,Alpine Skiing,2,2,FALSE
40,1984,Winter,Sarajevo,SVN,SUI,44,ALP,Alpine Skiing,4,10,FALSE
